time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.8724938057917976e-08,-9.618100812844228e-08,10.004002885796728,6.282963740075294,2.2512674647146014e-05,0.0,-1.8392339090791016e-06,-1.3696172419904874e-05,0.13342250908388298,-0.012349793914245604,0.0011153337694784122,0.0,447.504675563204,447.59542900938317,447.7100878216599,446.7044007153916
0.12000000000000001,-7.061786989356847e-07,-7.209742711299667e-06,10.01226441801516,6.281755941285793,3.5134974760708815e-06,0.0,-2.3342381484237437e-05,-0.00030220009376748507,0.141960738216542,-0.044075563909243956,-0.0033467844373890536,0.0,407.5201854227395,407.1212162537048,407.84112575229705,404.99791569157316
0.18,-1.0862869563566388e-06,-7.845621109327075e-05,10.03076212964124,6.279022528918318,6.282679159930767,0.0,5.537373057902719e-05,-0.0024392239920169464,0.4745504629657671,-0.04869649270403436,-0.021551420977888314,0.0,505.6267311914839,504.3138515915684,505.97719347893866,505.64352663220666
0.23999999999999996,1.6993668835008676e-05,-0.0003193545498193636,10.061679321444014,6.276116792698609,6.281619263652663,0.0,0.0006630954051712839,-0.005879759504957387,0.5559843894103824,-0.04789930329198364,-0.010847290478575765,0.0,431.76266335083835,432.66470905556287,430.19619147812153,430.26215259965346
0.3,9.208693111890564e-05,-0.0008309636345424413,10.098264113552473,6.272996316048896,6.2808100061259395,0.0,0.0019145712532836706,-0.01148082528723414,0.6634492733393593,-0.061841622844954584,-0.019373995061585297,0.0,440.49933102878356,439.79386767043667,439.64876680335743,438.4903820079232
0.36000000000000004,0.0002711643180059667,-0.0017899412985236756,10.145242313022251,6.2689710499703395,6.279759752572659,0.0,0.004189580850515682,-0.020953902852738106,0.902326923421412,-0.08046353086983687,-0.014005107192897673,0.0,479.72028248194647,480.1278232783283,479.6700139317626,478.2508018907346
0.4200000000000001,0.0006056660056991596,-0.0033995724449612887,10.205041892815766,6.264023446717017,6.279235030886856,0.0,0.007036558127497311,-0.03326023922483612,1.0908220319571311,-0.08678322118629302,0.00011319489281539589,0.0,464.9110777938328,466.01593397490063,464.78552836429003,464.2848052775523
0.48000000000000015,0.0010873620860745133,-0.005700461014872261,10.267997502547104,6.258772051369954,6.279691843003805,0.0,0.009000566034191157,-0.043829316506168045,1.0077676686287376,-0.08904489825719726,0.019486740283107734,0.0,375.37620720844745,377.2512859163638,375.0950339408843,374.86744073197934
0.5400000000000001,0.0017049970333527236,-0.008931765610104779,10.33447678279382,6.253266873626766,6.280854688056165,0.0,0.01145035080486652,-0.06450903942813158,1.208001413969328,-0.09780424824907932,0.01916794163110888,0.0,468.0243205787017,467.99944892825874,469.8002340798125,469.1140146085947
0.6000000000000002,0.0024386280018194673,-0.013495701794849053,10.411668132579786,6.247745030638136,6.282573083386804,0.0,0.012840023524919331,-0.08824350252041474,1.364848647847331,-0.0824545855673714,0.042891496521135886,0.0,455.6538507799579,457.5464656354752,455.0870884123632,456.3069161587657
0.6600000000000003,0.003210687388207972,-0.01951589485463784,10.495847884114237,6.242799294449682,0.002738733914071645,0.0,0.012595510543870498,-0.11291350522134545,1.441030302493565,-0.08237772073769485,0.07379726156592271,0.0,429.8434116371343,432.4563514242995,431.44006423110835,431.4408072008802
0.7200000000000003,0.0038930200843221075,-0.027143234310799565,10.585279083750253,6.237884848785328,0.006880259002759459,0.0,0.009710340480618777,-0.14182791434390243,1.5398566476634488,-0.08098363151660304,0.05718877578237084,0.0,439.3926895274887,438.017371513693,438.8224541093292,438.93261871731767
0.7800000000000004,0.004310430058695731,-0.03666887007035239,10.681980334242796,6.23283591098658,0.010024044980670332,0.0,0.003845495171151402,-0.1762204735973224,1.6832870907009148,-0.091374877411809,0.040492892688911014,0.0,452.7377303684109,451.39420497813717,454.4525617785638,453.61326294627554
0.8400000000000004,0.004323438420066409,-0.04830517179167038,10.785993638332329,6.227500307435328,0.011867374794317875,0.0,-0.00365060108031835,-0.21220049897341212,1.7836363838141378,-0.08443501979816914,-0.010395686709747005,0.0,441.9612807070407,437.74750365199,440.10475082136236,440.672042364368
0.9000000000000005,0.0038612224085098077,-0.062206180053320174,10.89597036923631,6.2226311025231364,0.011659779063609932,0.0,-0.011715048640692649,-0.2516632377352703,1.8820640277964784,-0.07529086716149336,0.007687258176405491,0.0,438.9031097520943,440.401302637176,439.81099116969324,440.56221110469994
0.9600000000000005,0.0028949774352492676,-0.0786815239990778,11.013618538575612,6.218830819020807,0.012047293199032971,0.0,-0.020536971249775837,-0.29795132541748426,2.039239218296269,-0.0463983674802145,0.0038803226659736983,0.0,458.46131301920235,458.1586497562525,457.66237199825326,459.95301888202243
1.0200000000000005,0.0014190646397699515,-0.097866800938649,11.13843441235856,6.215669903960107,0.01211164902605777,0.0,-0.02867371423237254,-0.3418407079856621,2.1211152744727015,-0.06981072017693774,-0.005235858767087469,0.0,435.37325238955134,434.6098727272271,437.4105679731183,435.4544972922035
1.0800000000000005,-0.0005473039819458196,-0.11976825885986944,11.268354737697424,6.211300436200787,0.012253017797062782,0.0,-0.03686432568703123,-0.3886266296227494,2.209357386128535,-0.07965602143777599,0.014345657973272608,0.0,436.8038603652496,438.4337102020144,439.06967830287846,438.24791507387073
1.1400000000000006,-0.003016906368468856,-0.1445959194378293,11.403959589382909,6.207399519132782,0.013214820245432968,0.0,-0.045546715405834055,-0.4393833133962282,2.3105613365678224,-0.04547931130746799,0.019202103088123722,0.0,443.2753242424172,443.6741231741789,440.51322752938404,443.32661547081534
